Main food description (Portions and Weights),Portion description,WWEIA Category description (Portions and Weights),Portion weight (g),Food code
"Yogurt, Greek, NS as to type of milk or flavor",1 cup,"Yogurt, Greek",245,11400010
"Yogurt, Greek, NS as to type of milk or flavor",Quantity not specified,"Yogurt, Greek",150,11400010
"Yogurt, NS as to type of milk or flavor",1 4 oz container,"Yogurt, regular",113,11410000
"Yogurt, NS as to type of milk or flavor",1 6 oz container,"Yogurt, regular",170,11410000
"Yogurt, NS as to type of milk or flavor","1 container, NFS","Yogurt, regular",170,11410000
"Yogurt, NS as to type of milk or flavor",1 cup,"Yogurt, regular",245,11410000
"Yogurt, NS as to type of milk or flavor",Quantity not specified,"Yogurt, regular",170,11410000
"Yogurt, NS as to type of milk, plain",1 4 oz container,"Yogurt, regular",113,11411010
"Yogurt, NS as to type of milk, plain",1 6 oz container,"Yogurt, regular",170,11411010
"Yogurt, NS as to type of milk, plain","1 container, NFS","Yogurt, regular",170,11411010
"Yogurt, NS as to type of milk, plain",1 cup,"Yogurt, regular",245,11411010
"Yogurt, NS as to type of milk, plain",Quantity not specified,"Yogurt, regular",170,11411010
"Yogurt, whole milk, plain",1 4 oz container,"Yogurt, regular",113,11411100
"Yogurt, whole milk, plain",1 6 oz container,"Yogurt, regular",170,11411100
"Yogurt, whole milk, plain","1 container, NFS","Yogurt, regular",170,11411100
"Yogurt, whole milk, plain",1 cup,"Yogurt, regular",245,11411100
"Yogurt, whole milk, plain",Quantity not specified,"Yogurt, regular",170,11411100
"Yogurt, low fat milk, plain",1 4 oz container,"Yogurt, regular",113,11411200
"Yogurt, low fat milk, plain",1 6 oz container,"Yogurt, regular",170,11411200
"Yogurt, low fat milk, plain","1 container, NFS","Yogurt, regular",170,11411200
"Yogurt, low fat milk, plain",1 cup,"Yogurt, regular",245,11411200
"Yogurt, low fat milk, plain",Quantity not specified,"Yogurt, regular",170,11411200
"Yogurt, nonfat milk, plain",1 4 oz container,"Yogurt, regular",113,11411300
"Yogurt, nonfat milk, plain",1 6 oz container,"Yogurt, regular",170,11411300
"Yogurt, nonfat milk, plain","1 container, NFS","Yogurt, regular",170,11411300
"Yogurt, nonfat milk, plain",1 cup,"Yogurt, regular",245,11411300
"Yogurt, nonfat milk, plain",Quantity not specified,"Yogurt, regular",170,11411300
"Yogurt, Greek, NS as to type of milk, plain",1 5.3 oz container,"Yogurt, Greek",150,11411390
"Yogurt, Greek, NS as to type of milk, plain",1 6 oz container,"Yogurt, Greek",170,11411390
