Main food description (Portions and Weights),Portion description,WWEIA Category description (Portions and Weights),Portion weight (g),Food code
"Pancakes, whole grain, reduced fat",1 extra large pancake,"Pancakes, waffles, French toast",150,51300060
"Pancakes, gluten free",1 extra large pancake,"Pancakes, waffles, French toast",150,51129010
"Oatmeal, instant, plain, made with water, no added fat",1 Keurig cup,Oatmeal,170,52302500
"Oatmeal, instant, plain, made with water, fat added",1 Keurig cup,Oatmeal,170,52302600
"Oatmeal, instant, plain, made with milk, no added fat",1 Keurig cup,Oatmeal,170,52303500
"Oatmeal, instant, plain, made with milk, fat added",1 Keurig cup,Oatmeal,170,52306300
"Oatmeal, instant, plain, made with non-dairy milk, no added fat",1 Keurig cup,Oatmeal,170,52401000
"Oatmeal, instant, plain, made with non-dairy milk, fat added",1 Keurig cup,Oatmeal,170,52403000
"Oatmeal, instant, maple flavored, no added fat",1 Keurig cup,Oatmeal,170,52408000
"Oatmeal, instant, maple flavored, fat added",1 Keurig cup,Oatmeal,170,71930200
"Oatmeal, instant, fruit flavored, no added fat",1 Keurig cup,Oatmeal,170,52302020
"Oatmeal, instant, fruit flavored, fat added",1 Keurig cup,Oatmeal,170,52302010
"Potato chips, restructured, reduced fat, lightly salted",1 100 calorie package,Potato chips,18,55401000
"Potato chips, popped, plain",1 cup,Potato chips,20,52306500
"Potato chips, popped, flavored",1 cup,Potato chips,20,52306700
"Potato chips, popped, NFS",1 cup,Potato chips,20,53430100
"Potato chips, NFS",1 cup,Potato chips,25,55200010
"Potato chips, plain",1 cup,Potato chips,25,55200200
"Potato chips, barbecue flavored",1 cup,Potato chips,25,55203700
"Potato chips, sour cream and onion flavored",1 cup,Potato chips,25,55208000
"Potato chips, cheese flavored",1 cup,Potato chips,25,55300010
"Potato chips, other flavored",1 cup,Potato chips,25,55300050
"Potato chips, baked, plain",1 cup,Potato chips,25,55301025
"Potato chips, baked, flavored",1 cup,Potato chips,25,55301040
"Potato chips, reduced fat",1 cup,Potato chips,25,55301048
"Potato chips, unsalted",1 cup,Potato chips,25,55501000
"Potato chips, lightly salted",1 cup,Potato chips,25,55200100
"Potato chips, restructured, multigrain",1 100 calorie package,Potato chips,30,53430200
"Potato chips, ruffled, plain",1 cup,Potato chips,32,55200030
"Potato chips, ruffled, barbecue flavored",1 cup,Potato chips,32,55200020
"Potato chips, ruffled, sour cream and onion flavored",1 cup,Potato chips,32,55300020
"Potato chips, ruffled, cheese flavored",1 cup,Potato chips,32,55400010
"Potato chips, ruffled, other flavored",1 cup,Potato chips,32,55200040
"Potato sticks, plain",1 cup,Potato chips,38,55200120
"Potato sticks, flavored",1 cup,Potato chips,38,55203000
"Potato sticks, fry shaped",1 cup,Potato chips,38,55100020
Cheese flavored corn snacks (Cheetos),1 100 calorie package,"Tortilla, corn, other chips",20,55301015
Sweet potato chips,1 cup,"Tortilla, corn, other chips",25,55106000
Bean chips,1 cup,"Tortilla, corn, other chips",30,55205000
Soy chips,1 cup,"Tortilla, corn, other chips",30,55203600
"Tortilla chips, plain",1 cup,"Tortilla, corn, other chips",30,55200070
"Tortilla chips, flavored",1 cup,"Tortilla, corn, other chips",30,55200060
"Tortilla chips, nacho cheese flavor (Doritos)",1 cup,"Tortilla, corn, other chips",30,55100065
"Tortilla chips, cool ranch flavor (Doritos)",1 cup,"Tortilla, corn, other chips",30,55105205
"Tortilla chips, other flavors (Doritos)",1 cup,"Tortilla, corn, other chips",30,55105200
Multigrain chips (Sun Chips),1 cup,"Tortilla, corn, other chips",30,55100005
Vegetable chips,1 cup,"Tortilla, corn, other chips",30,55100080
"Chips, rice",Quantity not specified,"Tortilla, corn, other chips",30,55100055
"Tortilla chips, reduced fat, plain",Quantity not specified,"Tortilla, corn, other chips",30,55100025
"Tortilla chips, reduced fat, flavored",Quantity not specified,"Tortilla, corn, other chips",30,55100060
"Popcorn chips, plain",Quantity not specified,"Tortilla, corn, other chips",30,55100050
"Popcorn chips, other flavors",Quantity not specified,"Tortilla, corn, other chips",30,55200050
"Popcorn chips, sweet flavors",Quantity not specified,"Tortilla, corn, other chips",30,55200110
Cheese flavored corn snacks,1 cup,"Tortilla, corn, other chips",35,58174100
"Cheese flavored corn snacks, reduced fat",1 cup,"Tortilla, corn, other chips",35,55103020
Shrimp chips,Quantity not specified,"Tortilla, corn, other chips",40,57119000
"Corn chips, plain",1 cup,"Tortilla, corn, other chips",45,55103000
"Corn chips, flavored",1 cup,"Tortilla, corn, other chips",45,55200080
"Corn chips, plain (Fritos)",1 cup,"Tortilla, corn, other chips",45,55100010
"Corn chips, flavored (Fritos)",1 cup,"Tortilla, corn, other chips",45,55101000
"Corn chips, reduced sodium",1 cup,"Tortilla, corn, other chips",45,55101015
Corn nuts,Quantity not specified,"Tortilla, corn, other chips",95,55702100
"Popcorn, ready-to-eat, NFS",1 kernel,Popcorn,"0,2",57223000
"Popcorn, ready-to-eat, plain",1 kernel,Popcorn,"0,2",57124200
"Popcorn, ready-to-eat, plain, light",1 kernel,Popcorn,"0,2",57240100
"Popcorn, ready-to-eat, low sodium",1 kernel,Popcorn,"0,2",57347000
"Popcorn, ready-to-eat, butter flavored",1 kernel,Popcorn,"0,2",57305150
"Popcorn, ready-to-eat, cheese flavored",1 kernel,Popcorn,"0,2",57227000
"Popcorn, ready-to-eat, flavored, light",1 kernel,Popcorn,"0,2",57125000
"Popcorn, ready-to-eat, kettle",1 kernel,Popcorn,"0,2",57100100
"Popcorn, caramel coated",1 kernel,Popcorn,"0,6",57420120
"Popcorn, caramel coated, with nuts",1 kernel,Popcorn,"0,6",57420150
"Popcorn, microwave, plain",Quantity not specified,Popcorn,28,57134000
"Popcorn, microwave, plain, light",Quantity not specified,Popcorn,28,57420160
"Popcorn, microwave, low sodium",Quantity not specified,Popcorn,28,57207000
"Popcorn, microwave, flavored, light",Quantity not specified,Popcorn,28,57401100
"Popcorn, microwave, NFS",Quantity not specified,Popcorn,35,57344010
"Popcorn, microwave, butter flavored",Quantity not specified,Popcorn,35,57308400
"Popcorn, microwave, cheese flavored",Quantity not specified,Popcorn,35,57123000
"Popcorn, microwave, kettle",Quantity not specified,Popcorn,35,57132000
"Popcorn, chocolate coated",Quantity not specified,Popcorn,35,57420130
"Popcorn, NFS","1 single serving bag, NFS",Popcorn,57,57216000
"Popcorn, movie theater, no butter added","1 order, NS as to size",Popcorn,143,57420140
"Popcorn, movie theater, with added butter","1 order, NS as to size",Popcorn,182,57329000
"Pretzels, hard, NFS","1 pretzel, NS as to size",Pretzels/snack mix,3,57214000
"Pretzels, hard, plain, salted","1 pretzel, NS as to size",Pretzels/snack mix,3,57301600
"Pretzels, hard, plain, lightly salted","1 pretzel, NS as to size",Pretzels/snack mix,3,57237100
"Pretzels, hard, plain, unsalted","1 pretzel, NS as to size",Pretzels/snack mix,3,57137000
"Pretzels, hard, flavored","1 pretzel, NS as to size",Pretzels/snack mix,3,57304100
"Pretzels, hard, coated, NFS","1 pretzel, NS as to size",Pretzels/snack mix,4,56203066
"Pretzels, hard, chocolate coated","1 pretzel, NS as to size",Pretzels/snack mix,4,56203067
"Pretzels, hard, white chocolate coated","1 pretzel, NS as to size",Pretzels/snack mix,4,56203555
"Pretzels, hard, yogurt coated","1 pretzel, NS as to size",Pretzels/snack mix,4,56203610
"Pretzels, hard, coated, gluten free","1 pretzel, NS as to size",Pretzels/snack mix,4,56202905
"Pretzels, soft, NFS",1 pretzel stick,Pretzels/snack mix,21,56203076
"Pretzels, soft, ready-to-eat, NFS",1 pretzel stick,Pretzels/snack mix,21,56203077
"Pretzels, soft, ready-to-eat, salted, buttered",1 pretzel stick,Pretzels/snack mix,21,56203135
"Pretzels, soft, ready-to-eat, unsalted, buttered",1 pretzel stick,Pretzels/snack mix,21,56203130
"Pretzels, soft, ready-to-eat, salted, no butter",1 pretzel stick,Pretzels/snack mix,21,56203096
"Pretzels, soft, ready-to-eat, unsalted, no butter",1 pretzel stick,Pretzels/snack mix,21,56203097
"Pretzels, hard, plain, gluten free",1 100 calorie package,Pretzels/snack mix,25,57336000
"Pretzels, hard, flavored, gluten free",1 100 calorie package,Pretzels/snack mix,25,57411000
"Pretzels, hard, filled, NFS",1 100 calorie package,Pretzels/snack mix,25,57344000
"Pretzels, hard, cheese filled",1 100 calorie package,Pretzels/snack mix,25,57418000
"Pretzels, hard, peanut butter filled",1 100 calorie package,Pretzels/snack mix,25,56202900
"Pretzels, soft, ready-to-eat, cinnamon sugar coated",1 pretzel stick,Pretzels/snack mix,25,56203106
"Pretzels, soft, ready-to-eat, coated or flavored",1 pretzel stick,Pretzels/snack mix,25,56203107
"Pretzels, soft, ready-to-eat, topped with meat",1 pretzel stick,Pretzels/snack mix,25,56203160
"Pretzels, soft, ready-to-eat, topped with cheese",1 pretzel stick,Pretzels/snack mix,25,56203155
"Pretzels, NFS",1 cup,Pretzels/snack mix,40,56202960
"Pretzel chips, hard, plain",1 cup,Pretzels/snack mix,40,57420110
"Pretzel chips, hard, flavored",1 cup,Pretzels/snack mix,40,57416000
"Pretzel chips, hard, gluten free",1 cup,Pretzels/snack mix,40,57151000
"Pretzels, hard, multigrain",1 medium single serving bag,Pretzels/snack mix,57,57417000
"Snack mix, plain (Chex Mix)",Quantity not specified,Pretzels/snack mix,60,56203087
"Pretzels, soft, from frozen, NFS",Quantity not specified,Pretzels/snack mix,71,56203057
"Pretzels, soft, from frozen, salted",Quantity not specified,Pretzels/snack mix,71,56200300
"Pretzels, soft, from frozen, unsalted",Quantity not specified,Pretzels/snack mix,71,56200990
"Pretzels, soft, from frozen, cinnamon sugar coated",Quantity not specified,Pretzels/snack mix,71,56201090
"Pretzels, soft, from frozen, coated or flavored",Quantity not specified,Pretzels/snack mix,71,56201091
"Pretzels, soft, from frozen, topped with meat",Quantity not specified,Pretzels/snack mix,71,56201092
"Pretzels, soft, from frozen, topped with cheese",Quantity not specified,Pretzels/snack mix,71,56201050
"Pretzels, soft, from school lunch",Quantity not specified,Pretzels/snack mix,71,56201051
"Pretzels, soft, gluten free",Quantity not specified,Pretzels/snack mix,95,56201052
"Pretzels, soft, gluten free, cinnamon sugar coated",Quantity not specified,Pretzels/snack mix,95,56201210
"Pretzels, soft, gluten free, coated or flavored",Quantity not specified,Pretzels/snack mix,95,56201220
"Pretzels, soft, filled with cheese",Quantity not specified,Pretzels/snack mix,99,56201230
"Pretzels, soft, multigrain","1 pretzel, NS as to size",Pretzels/snack mix,120,56203056
"Crackers, cheese (Goldfish)",Quantity not specified,"Crackers, excludes saltines",18,56207370
"Crackers, cheese, reduced sodium",Quantity not specified,"Crackers, excludes saltines",18,71200240
"Crackers, sandwich",Quantity not specified,"Crackers, excludes saltines",18,71200220
"Crackers, sandwich, peanut butter filled (Ritz)",Quantity not specified,"Crackers, excludes saltines",18,54401110
"Crackers, sandwich, reduced fat, peanut butter filled",Quantity not specified,"Crackers, excludes saltines",18,54401111
"Crackers, sandwich, cheese filled (Ritz)",Quantity not specified,"Crackers, excludes saltines",18,71980200
"Crackers, woven wheat",Quantity not specified,"Crackers, excludes saltines",18,71200100
"Crackers, wheat, flavored (Wheat Thins)",Quantity not specified,"Crackers, excludes saltines",18,71203010
"Crackers, cheese",1 small or medium single serving bag,"Crackers, excludes saltines",45,71200300
"Breadsticks, hard, NFS",1 cup,"Crackers, excludes saltines",46,56205050
"Breadsticks, hard, reduced sodium",1 cup,"Crackers, excludes saltines",46,56207017
"Breadsticks, hard, whole wheat",1 cup,"Crackers, excludes saltines",46,56207060
"Breadsticks, hard, gluten free",1 cup,"Crackers, excludes saltines",46,56207016
"Crackers, NFS","1 cup, NFS","Crackers, excludes saltines",50,56201600
"Crackers, butter, plain","1 cup, NFS","Crackers, excludes saltines",50,56201516
"Crackers, butter, flavored","1 cup, NFS","Crackers, excludes saltines",50,56201517
"Crackers, butter, reduced fat","1 cup, NFS","Crackers, excludes saltines",50,75217520
"Crackers, cheese (Cheez-It)","1 cup, NFS","Crackers, excludes saltines",50,56208500
"Crackers, wheat","1 cup, NFS","Crackers, excludes saltines",50,71200310
"Crackers, wheat, plain (Wheat Thins)","1 cup, NFS","Crackers, excludes saltines",50,71202510
Pita chips,1 cup,"Crackers, excludes saltines",60,56206990
"Crackers, butter, reduced sodium","1 cup, bite size","Crackers, excludes saltines",60,58174000
"Crackers, cheese, reduced fat",1 large single serving bag,"Crackers, excludes saltines",85,71202500
"Crackers, cheese, whole grain",1 large single serving bag,"Crackers, excludes saltines",85,71200120
"Crackers, butter (Ritz)",1 sleeve,"Crackers, excludes saltines",115,56207200
"Crackers, oyster","1 cup, NFS",Saltine crackers,50,41410015
"Cake or cupcake, chocolate, no icing",1 cubic inch,Cakes and pies,5,54408400
"Cake or cupcake, white, no icing",1 cubic inch,Cakes and pies,5,54408082
"Pie, lemon",Quantity not specified,Cakes and pies,150,54304150
"Pie, key lime",Quantity not specified,Cakes and pies,150,56116000
"Pie, strawberry",Quantity not specified,Cakes and pies,150,54328210
"Pie, banana cream",Quantity not specified,Cakes and pies,150,54328105
"Pie, chocolate cream",Quantity not specified,Cakes and pies,150,54319000
"Pie, coconut cream",Quantity not specified,Cakes and pies,150,54340110
"Pie, custard",Quantity not specified,Cakes and pies,150,54340100
"Pie, peanut butter cream",Quantity not specified,Cakes and pies,150,54301100
"Pie, pineapple cream",Quantity not specified,Cakes and pies,150,54328120
"Pie, vanilla cream",Quantity not specified,Cakes and pies,150,54200100
"Pie, lemon meringue",Quantity not specified,Cakes and pies,150,51184100
"Pie, oatmeal",Quantity not specified,Cakes and pies,150,54204020
"Cake or cupcake, chocolate with white icing, from mix","1 large piece/slice, 2+ layer cake",Cakes and pies,225,54408035
"Cake or cupcake, chocolate with chocolate icing, from mix","1 large piece/slice, 2+ layer cake",Cakes and pies,225,54408422
"Cake or cupcake, white with white icing, from mix","1 large piece/slice, 2+ layer cake",Cakes and pies,225,54408462
"Cake or cupcake, white with chocolate icing, from mix","1 large piece/slice, 2+ layer cake",Cakes and pies,225,54408110
"Cake or cupcake, chocolate with white icing, bakery","1 large piece/slice, 2+ layer cake",Cakes and pies,260,54408260
"Cake or cupcake, chocolate with chocolate icing, bakery","1 large piece/slice, 2+ layer cake",Cakes and pies,260,54408300
"Cake or cupcake, white with white icing, bakery","1 large piece/slice, 2+ layer cake",Cakes and pies,260,54408105
"Cake or cupcake, white with chocolate icing, bakery","1 large piece/slice, 2+ layer cake",Cakes and pies,260,54402200
"Pie, NFS","1 regular pie (8-9"" dia)",Cakes and pies,1200,54408416
"Pie, apple","1 regular pie (8-9"" dia)",Cakes and pies,1200,54408432
"Pie, berry","1 regular pie (8-9"" dia)",Cakes and pies,1200,54408410
"Pie, blueberry","1 regular pie (8-9"" dia)",Cakes and pies,1200,54408415
"Pie, cherry","1 regular pie (8-9"" dia)",Cakes and pies,1200,54408456
"Pie, peach","1 regular pie (8-9"" dia)",Cakes and pies,1200,54408466
"Pie, pumpkin","1 regular pie (8-9"" dia)",Cakes and pies,1200,54408455
"Pie, sweet potato","1 regular pie (8-9"" dia)",Cakes and pies,1200,54408200
"Pie, pecan","1 regular pie (8-9"" dia)",Cakes and pies,1200,54408310
"Cookie, ladyfinger",1 ladyfinger biscuit,Cookies and brownies,"5,2",53102700
"Cookie, butter or sugar, with chocolate icing or filling",1 Geneva,Cookies and brownies,10,53720400
"Cookie, with peanut butter filling, chocolate-coated",1 Girl Scout cookie,Cookies and brownies,13,53720300
"Cookie, peanut butter sandwich",1 sandwich,Cookies and brownies,14,99995135
"Cookie, shortbread, with icing or filling",1 Girl Scout cookie,Cookies and brownies,15,53710800
"Cookie, butter or sugar, with fruit and/or nuts",1 Pepperidge Farm Cappucino,Cookies and brownies,15,53729000
"Cookie, animal",Quantity not specified,Cookies and brownies,20,53714520
"Cookie, chocolate, with icing or coating",1 100 calorie package,Cookies and brownies,21,53710802
"Cookie, shortbread, reduced fat",1 100 calorie package,Cookies and brownies,21,53720500
Graham crackers,1 100 calorie package,Cookies and brownies,21,53104500
"Cookie, chocolate chip, reduced fat",1 100 calorie package,Cookies and brownies,22,53711004
"Cookie, oatmeal, reduced fat, NS as to raisins",1 medium,Cookies and brownies,30,67100100
"Cookie, fig bar",Quantity not specified,Cookies and brownies,32,53720800
"Cookie, chocolate sandwich",1 large sandwich,Cookies and brownies,36,54201010
"Cookie, oatmeal sandwich, with creme filling",1 large sandwich,Cookies and brownies,36,67110100
"Cookie, chocolate chip",1 medium bar,Cookies and brownies,38,53710810
"Cookie, pumpkin",1 medium bar,Cookies and brownies,38,53710900
"Cookie, gluten free",1 medium bar,Cookies and brownies,38,53710902
"Cookie, vanilla sandwich, extra filling",Quantity not specified,Cookies and brownies,42,53711100
"Cookie, vanilla sandwich, reduced fat",Quantity not specified,Cookies and brownies,42,53713010
"Cookie, sugar or plain, sugar free",1 large,Cookies and brownies,45,91401000
"Cookie, lemon bar",1 large bar,Cookies and brownies,56,91200040
"Cookie, marshmallow, with rice cereal, no bake",1 large bar,Cookies and brownies,56,67105040
"Cookie, marshmallow, with rice cereal and chocolate chips",1 large bar,Cookies and brownies,56,67108040
"Cookie, marshmallow and peanut butter, with oat cereal, no bake",1 large bar,Cookies and brownies,56,67109040
"Cookie, peanut butter with rice cereal, no bake",1 large bar,Cookies and brownies,56,76000000
"Cookie, toffee bar",1 large bar,Cookies and brownies,56,67109010
"Cookie, chocolate chip, made from home recipe or purchased at a bakery",Quantity not specified,Cookies and brownies,60,53710906
"Cookie, molasses",Quantity not specified,Cookies and brownies,60,53710600
"Cookie, oatmeal, with raisins",Quantity not specified,Cookies and brownies,60,53714400
"Cookie, peanut butter, with chocolate",Quantity not specified,Cookies and brownies,60,53714210
"Cookie, shortbread",Quantity not specified,Cookies and brownies,60,53712100
"Cookie, marshmallow pie, chocolate covered","1 pie, NFS",Cookies and brownies,78,53118100
"Cookie, brownie, NS as to icing",1 large,Cookies and brownies,90,67110000
"Cookie, butterscotch, brownie",1 large,Cookies and brownies,90,67102030
"Coffee cake, crumb or quick-bread type",1 cubic inch,"Doughnuts, sweet rolls, pastries","4,5",53441210
"Roll, sweet, no frosting",1 cubic inch,"Doughnuts, sweet rolls, pastries","6,5",53440300
"Danish pastry, plain or spice",1 cubic inch,"Doughnuts, sweet rolls, pastries","6,5",99997410
"Danish pastry, with fruit",1 cubic inch,"Doughnuts, sweet rolls, pastries","6,5",99995620
"Coffee cake, crumb or quick-bread type, with fruit",1 cubic inch,"Doughnuts, sweet rolls, pastries","6,5",53440000
"Danish pastry, with cheese",1 miniature,"Doughnuts, sweet rolls, pastries",28,89901050
"Pan Dulce, with fruit, no frosting",1 miniature,"Doughnuts, sweet rolls, pastries",30,53440700
"Roll, sweet, with fruit, frosted",1 miniature,"Doughnuts, sweet rolls, pastries",30,53119000
"Roll, sweet, frosted",1 miniature,"Doughnuts, sweet rolls, pastries",30,53123070
"Pastry, mainly flour and water, fried",1 Taco Bell order,"Doughnuts, sweet rolls, pastries",35,76209010
Croissant,1 medium croissant,"Doughnuts, sweet rolls, pastries",57,76201010
"Coffee cake, yeast type",Quantity not specified,"Doughnuts, sweet rolls, pastries",57,53415300
"Pastry, made with bean or lotus seed paste filling, baked",Quantity not specified,"Doughnuts, sweet rolls, pastries",70,53410800
"Roll, sweet, cinnamon bun, no frosting",Quantity not specified,"Doughnuts, sweet rolls, pastries",90,53440500
"Roll, sweet, with fruit, frosted, diet",Quantity not specified,"Doughnuts, sweet rolls, pastries",90,53112100
"Pan Dulce, with sugar topping",Quantity not specified,"Doughnuts, sweet rolls, pastries",93,91404000
"Roll, sweet, cinnamon bun, frosted",1 Cinnabon,"Doughnuts, sweet rolls, pastries",240,53440600
"Chocolate candy, other, NFS",1 sharing/movie theater size,Candy containing chocolate,180,53120270
Chocolate candy,1 sharing/movie theater size,Candy containing chocolate,180,53120272
"Chocolate candy with nuts, other, NFS",1 sharing/movie theater size,Candy containing chocolate,180,53201000
Chocolate candy with nuts,1 sharing/movie theater size,Candy containing chocolate,180,53202000
Chocolate candy with cereal,1 sharing/movie theater size,Candy containing chocolate,180,53206550
"Chocolate candy, cookie filled",1 sharing/movie theater size,Candy containing chocolate,180,53222010
"Dark chocolate candy, other, NFS",1 sharing/movie theater size,Candy containing chocolate,180,53223000
Dark chocolate candy,1 sharing/movie theater size,Candy containing chocolate,180,53224250
"Dark chocolate candy with nuts, other, NFS",1 sharing/movie theater size,Candy containing chocolate,180,53226000
Dark chocolate candy with nuts,1 sharing/movie theater size,Candy containing chocolate,180,53233100
"Chocolate candy, caramel filled",1 sharing/movie theater size,Candy containing chocolate,180,53235600
"Chocolate candy, caramel filled with nuts",1 sharing/movie theater size,Candy containing chocolate,180,53228000
"Chocolate candy, coconut filled",1 sharing/movie theater size,Candy containing chocolate,180,53242500
"Chocolate candy, cream filled",1 sharing/movie theater size,Candy containing chocolate,180,53240000
"Chocolate candy, peanut butter filled",1 sharing/movie theater size,Candy containing chocolate,180,51187020
Chocolate candy with dried fruit,1 sharing/movie theater size,Candy containing chocolate,180,53118550
"Chocolate candy, candy shell",1 sharing/movie theater size,Candy containing chocolate,180,53109200
"Chocolate candy, candy shell with nuts",1 sharing/movie theater size,Candy containing chocolate,180,53121270
"Chocolate candy, nougat filled",1 sharing/movie theater size,Candy containing chocolate,220,54102060
"Chocolate candy, nougat filled with nuts",1 sharing/movie theater size,Candy containing chocolate,220,54102015
"Candy, NFS",1 large/king size,Candy not containing chocolate,120,53239100
"Candy, non chocolate, other, NFS",1 large/king size,Candy not containing chocolate,120,53205250
"Candy, licorice",1 large/king size,Candy not containing chocolate,120,53237500
"Candy, hard",1 large/king size,Candy not containing chocolate,120,53226550
"Candy, fruit flavored pieces",1 large/king size,Candy not containing chocolate,120,53203000
"Candy, taffy",1 large/king size,Candy not containing chocolate,120,53226600
"Candy, gummy",1 cup,Candy not containing chocolate,160,53200100
"Candy, fruit snacks",1 cup,Candy not containing chocolate,160,53238000
White chocolate candy,1 sharing/movie theater size,Candy not containing chocolate,180,53210000
"Candy, caramel",1 sharing/movie theater size,Candy not containing chocolate,240,53244010
"Candy, nougat with nuts",1 sharing/movie theater size,Candy not containing chocolate,240,53222020
Popsicle,Quantity not specified,"Gelatins, ices, sorbets",50,53239050
Gelatin dessert,Quantity not specified,"Gelatins, ices, sorbets",120,53270100
"Apple, raw",1 cup,Apples,125,53243050
"Banana, raw",Quantity not specified,Bananas,126,53223100
"Cantaloupe, raw",1 large wedge/slice,Melons,105,53420000
"Honeydew melon, raw",1 large wedge/slice,Melons,190,53420100
"Watermelon, raw",1 large wedge/slice,Melons,432,53420250
"Tomatoes, raw",1 whole,Tomatoes,125,91746110
"Carrots, fresh, cooked, no added fat",Quantity not specified,Carrots,78,91705250
"Carrots, raw",1 single serving bag,Carrots,80,91700010
"Carrots, fresh, cooked with oil",Quantity not specified,Carrots,80,91802000
"Carrots, fresh, cooked with butter or margarine",Quantity not specified,Carrots,80,91745010
"Carrots, NS as to form, cooked",Quantity not specified,Carrots,80,91723030
"Carrots, fresh, cooked, fat added, NS as to fat type",Quantity not specified,Carrots,80,91718300
"Peppers, sweet, red, raw",Quantity not specified,Other red and orange vegetables,20,91723000
"Sweet potato, candied",Quantity not specified,Other red and orange vegetables,100,91746300
"Lettuce, salad with assorted vegetables including tomatoes and/or carrots, no dressing",1 Wendy's side salad,Lettuce and lettuce salads,168,61116010
"Peppers, raw, NFS",Quantity not specified,Other vegetables and combinations,20,72113100
"Peppers, sweet, green, raw",Quantity not specified,Other vegetables and combinations,20,72119190
"Cucumber, raw",Quantity not specified,Other vegetables and combinations,60,72130100
"Potato, boiled, NFS",1 cup,"White potatoes, baked or boiled",160,75202035
"Potato, boiled, ready-to-heat",1 cup,"White potatoes, baked or boiled",160,75214031
"Potato, boiled, from fresh, peel not eaten, NS as to fat",1 cup,"White potatoes, baked or boiled",160,75202028
"Potato, boiled, from fresh, peel not eaten, no added fat",1 cup,"White potatoes, baked or boiled",160,75214028
"Potato, boiled, from fresh, peel not eaten, fat added, NS as to fat type",1 cup,"White potatoes, baked or boiled",160,75219034
"Potato, boiled, from fresh, peel not eaten, made with oil",1 cup,"White potatoes, baked or boiled",160,75208310
"Potato, boiled, from fresh, peel not eaten, made with butter",1 cup,"White potatoes, baked or boiled",160,75127500
"Potato, boiled, from fresh, peel not eaten, made with margarine",1 cup,"White potatoes, baked or boiled",160,75109000
"Potato, boiled, from fresh, peel eaten, NS as to fat",1 cup,"White potatoes, baked or boiled",160,75215511
"Potato, boiled, from fresh, peel eaten, fat added, NS as to fat type",1 cup,"White potatoes, baked or boiled",160,75235750
"Potato, boiled, from fresh,  peel eaten, no added fat",1 cup,"White potatoes, baked or boiled",160,73111211
"Potato, boiled, from fresh, peel eaten, made with oil",1 cup,"White potatoes, baked or boiled",160,73111212
"Potato, boiled, from fresh, peel eaten, made with butter",1 cup,"White potatoes, baked or boiled",160,73111213
"Potato, boiled, from fresh, peel eaten, made with margarine",1 cup,"White potatoes, baked or boiled",160,75202011
"Potato, roasted, NFS",1 cup,"White potatoes, baked or boiled",160,75202012
"Potato, roasted, from fresh, peel eaten, NS as to fat",1 cup,"White potatoes, baked or boiled",160,75202013
"Potato, roasted, from fresh, peel eaten, no added fat",1 cup,"White potatoes, baked or boiled",160,75208011
"Potato, roasted, from fresh, peel eaten, fat added, NS as to fat type",1 cup,"White potatoes, baked or boiled",160,75208013
"Potato, roasted, from fresh, peel eaten, made with oil",1 cup,"White potatoes, baked or boiled",160,75209011
"Potato, roasted, from fresh, peel eaten, made with butter",1 cup,"White potatoes, baked or boiled",160,75209012
"Potato, roasted, from fresh, peel eaten, made with margarine",1 cup,"White potatoes, baked or boiled",160,75214011
"Potato, roasted, from fresh, peel not eaten, NS as to fat",1 cup,"White potatoes, baked or boiled",160,75214012
"Potato, roasted, from fresh, peel not eaten, fat added, NS as to fat type",1 cup,"White potatoes, baked or boiled",160,75217010
"Potato, roasted, from fresh, peel not eaten, no added fat",1 cup,"White potatoes, baked or boiled",160,75219011
"Potato, roasted, from fresh, peel not eaten, made with oil",1 cup,"White potatoes, baked or boiled",160,75232110
"Potato, roasted, from fresh, peel not eaten, made with butter",1 cup,"White potatoes, baked or boiled",160,75306998
"Potato, roasted, from fresh, peel not eaten, made with margarine",1 cup,"White potatoes, baked or boiled",160,75330050
"Potato, roasted, ready-to-heat",1 cup,"White potatoes, baked or boiled",160,75330080
"Potato, baked, peel eaten, with sour cream",1 cup,"White potatoes, baked or boiled",160,91301050
"Potato, baked, peel eaten, with chili",1 cup,"White potatoes, baked or boiled",160,91300100
"Potato, baked, peel not eaten, with sour cream",Quantity not specified,"White potatoes, baked or boiled",315,75311027
"Potato, baked, peel not eaten, with chili",Quantity not specified,"White potatoes, baked or boiled",315,75311031
"Potato, baked, peel eaten, with cheese",1 large,"White potatoes, baked or boiled",445,91403000
"Potato, french fries, fast food","1 fry, NS as to shape",French fries and other fried white potatoes,5,75307000
"Potato, french fries, restaurant","1 fry, NS as to shape",French fries and other fried white potatoes,5,75330060
"Potato, french fries, with cheese, fast food / restaurant","1 fry, any cut",French fries and other fried white potatoes,8,75330090
"Potato, french fries, NFS",1 wedge,French fries and other fried white potatoes,9,75111000
"Potato, french fries, NS as to fresh or frozen",1 wedge,French fries and other fried white potatoes,9,75125000
"Potato, french fries, from fresh, fried",1 wedge,French fries and other fried white potatoes,9,75311020
"Potato, french fries, from fresh, baked",1 wedge,French fries and other fried white potatoes,9,75340200
"Potato, french fries, from frozen, baked",1 wedge,French fries and other fried white potatoes,9,75213120
"Potato, french fries, from frozen, fried",1 wedge,French fries and other fried white potatoes,9,75213110
"Potato, french fries, school",1 cup,French fries and other fried white potatoes,60,75311121
"Potato tots, NFS",Quantity not specified,French fries and other fried white potatoes,65,75340020
